2024-06-16 01:12:22.828; INFO; GameBoxPlugIn; 10988; 16464] GetAsusDeviceList: no contain PPID
2024-06-16 01:12:22.828; INFO; GameBoxPlugIn; 10988; 16464] GetAsusDeviceList: no contain SN
2024-06-16 01:12:22.828; INFO; GameBoxPlugIn; 10988; 16464] GetAsusDeviceList: name=GU603HE, type=64, ppid=, sn=
2024-06-16 01:12:22.828; INFO; GameBoxPlugIn; 10988; 16464] class CAEFPluginSample::LogWriteLine [DevicesQueryHandler] GetAsusDeviceInformation: no device availiable.
2024-06-16 01:12:22.828; INFO; Loopback Stream; 10988; 16464] CallLibrary End
2024-06-16 01:12:22.875; INFO; Loopback Stream; 10988; 15108] CallLibrary Start
2024-06-16 01:12:22.875; INFO; Loopback Stream; 10988; 15108] CallLibrary End
2024-06-16 01:12:22.890; INFO; GameBoxPlugIn; 10988; 13608] CallLibrary End
2024-06-16 01:12:22.890; INFO; GameBoxPlugIn; 10988; 13608] DoPromotion : S_OK
2024-06-16 01:12:23.075; INFO; Aura Pluing; 10988; 7196] [AuraPlugin][isConnectedStandby] PBT_APMRESUMEAUTOMATIC Out
2024-06-16 01:12:23.075; INFO; Aura Pluing; 10988; 7196] [AuraPlugin][isConnectedStandby] out
2024-06-16 01:12:23.075; INFO; Aura Pluing; 10988; 7196] [AuraPlugin][isConnectedStandby] in
2024-06-16 01:12:23.075; INFO; Aura Pluing; 10988; 7196] [AuraPlugin][isConnectedStandby] ROGServiceInfo.LightingServiceSupportModernStandbyNotify: 1
2024-06-16 01:12:23.075; INFO; Aura Pluing; 10988; 7196] [AuraPlugin][isConnectedStandby] out
2024-06-16 01:12:27.016; INFO; Aura Pluing; 10988; 7196] [AuraPlugin][isConnectedStandby] in
2024-06-16 01:12:27.016; INFO; Aura Pluing; 10988; 7196] [AuraPlugin][isConnectedStandby] ROGServiceInfo.LightingServiceSupportModernStandbyNotify: 1
2024-06-16 01:12:27.016; INFO; Aura Pluing; 10988; 7196] [AuraPlugin][isConnectedStandby] PBT_APMSUSPEND In
2024-06-16 01:12:27.016; INFO; User Session Manager; 10988; 20416] OnPowerChange Start
2024-06-16 01:12:27.016; INFO; User Session Manager; 10988; 20416] OnPowerChange dwEventType=4, lpEventData=0000000000000000
2024-06-16 01:12:27.017; INFO; User Session Manager; 10988; 20416] OnPowerChange End
2024-06-16 01:12:27.017; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] Begin
2024-06-16 01:12:27.017; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] Event: 4 
2024-06-16 01:12:27.017; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] PBT_APMSUSPEND
2024-06-16 01:12:28.041; INFO; Aura Pluing; 10988; 7196] [AuraPlugin][isConnectedStandby] PBT_APMSUSPEND Out
2024-06-16 01:12:28.041; INFO; Aura Pluing; 10988; 7196] [AuraPlugin][isConnectedStandby] out
2024-06-16 13:28:27.764; WARNING; AEF Core; 10988; 5892] Read packet failed from ConsoleBackground.
2024-06-16 13:28:27.764; INFO; AEF Core; 10988; 5892] Leave GetPacket loop - ConsoleBackground.
2024-06-16 13:28:27.789; INFO; User Session Manager; 10988; 20416] OnPowerChange Start
2024-06-16 13:28:27.789; INFO; User Session Manager; 10988; 20416] OnPowerChange dwEventType=18, lpEventData=0000000000000000
2024-06-16 13:28:27.789; INFO; GameBoxPlugIn; 10988; 13608] CallLibrary Start
2024-06-16 13:28:27.790; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] Begin
2024-06-16 13:28:27.790; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] Event: 18 
2024-06-16 13:28:27.790; INFO; User Session Manager; 10988; 20416] OnPowerChange End
2024-06-16 13:28:27.790; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] PBT_APMRESUMEAUTOMATIC
2024-06-16 13:28:27.790; INFO; Aura Pluing; 10988; 7196] [AuraPlugin][isConnectedStandby] in
2024-06-16 13:28:27.790; INFO; Aura Pluing; 10988; 7196] [AuraPlugin][isConnectedStandby] ROGServiceInfo.LightingServiceSupportModernStandbyNotify: 1
2024-06-16 13:28:27.791; INFO; Aura Pluing; 10988; 7196] [AuraPlugin][isConnectedStandby] PBT_APMRESUMEAUTOMATIC In
2024-06-16 13:28:27.795; INFO; User Session Manager; 10988; 2920] OnPowerChange Start
2024-06-16 13:28:27.795; INFO; User Session Manager; 10988; 2920] OnPowerChange dwEventType=7, lpEventData=0000000000000000
2024-06-16 13:28:27.796; INFO; User Session Manager; 10988; 2920] OnPowerChange End
2024-06-16 13:28:27.796; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] Begin
2024-06-16 13:28:27.796; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] Event: 7 
2024-06-16 13:28:27.796; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] PBT_APMRESUMESUSPEND
2024-06-16 13:28:28.696; INFO; Aura Pluing; 10988; 14048] ATK registry Update !!!
2024-06-16 13:28:28.713; ERROR; Aura Pluing; 10988; 14044] [AuraDlg][ResetParameter] Reset Parameter
2024-06-16 13:28:28.715; INFO; User Session Manager; 10988; 8044] OnPowerChange Start
