2024-06-15 00:27:16.291; INFO; User Experience Improvement Plugin; 26852; 22100] Display On
2024-06-15 00:27:16.291; INFO; Mobile Plugin; 26852; 16028] OnPowerChange(GUID_CONSOLE_DISPLAY_STATE): eventType:32787, Display On
2024-06-15 00:27:16.291; INFO; Mobile Plugin; 26852; 16028] display on
2024-06-15 00:27:16.292; INFO; Utility Plugin; 26852; 21460] [OnPowerChange] Begin
2024-06-15 00:27:16.292; INFO; Utility Plugin; 26852; 21460] [OnPowerChange] Event: 32787 
2024-06-15 00:27:16.292; INFO; Utility Plugin; 26852; 21460] [OnPowerChange] PBT_POWERSETTINGCHANGE
2024-06-15 00:27:16.292; INFO; Utility Plugin; 26852; 21460] OnPowerChange(GUID_CONSOLE_DISPLAY_STATE): eventType:32787, Display On
2024-06-15 00:27:16.295; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.295; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.303; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.303; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.304; INFO; GPU Power Saving Plugin ; 26852; 18352] Start NV Service

2024-06-15 00:27:16.308; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.308; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.312; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.312; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.318; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.319; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.324; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.324; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.326; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.326; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.328; INFO; Aura Pluing; 26852; 14916] [HIDHelp][GetRGBKBStatus] lpReport[9]: 4
2024-06-15 00:27:16.328; INFO; Aura Pluing; 26852; 14916] [HIDHelp][GetRGBKBStatus] Keyboard_Years = 0x0
2024-06-15 00:27:16.328; INFO; Aura Pluing; 26852; 14916] [HIDHelp][GetRGBKBStatus] Support DefaultColor
2024-06-15 00:27:16.332; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.332; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.334; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.334; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.335; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.335; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.336; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.336; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.337; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.337; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.350; INFO; Aura Pluing; 26852; 14916] [HIDHelp][NkeyWDLStatusCommand] Start
