2024-06-17 00:41:30.271; INFO; GameBoxPlugIn; 10988; 21148] GetAsusDeviceList: no contain SN
2024-06-17 00:41:30.271; INFO; GameBoxPlugIn; 10988; 21148] GetAsusDeviceList: name=GU603HE, type=64, ppid=, sn=
2024-06-17 00:41:30.271; INFO; GameBoxPlugIn; 10988; 21148] class CAEFPluginSample::LogWriteLine [DevicesQueryHandler] GetAsusDeviceInformation: no device availiable.
2024-06-17 00:41:30.271; INFO; Loopback Stream; 10988; 21148] CallLibrary End
2024-06-17 00:41:30.324; INFO; Loopback Stream; 10988; 24592] CallLibrary Start
2024-06-17 00:41:30.324; INFO; Loopback Stream; 10988; 24592] CallLibrary End
2024-06-17 00:41:30.342; INFO; Aura Pluing; 10988; 7832] [AuraPlugin][isConnectedStandby] PBT_APMRESUMEAUTOMATIC Out
2024-06-17 00:41:30.342; INFO; Aura Pluing; 10988; 7832] [AuraPlugin][isConnectedStandby] out
2024-06-17 00:41:30.342; INFO; Aura Pluing; 10988; 7832] [AuraPlugin][isConnectedStandby] in
2024-06-17 00:41:30.342; INFO; Aura Pluing; 10988; 7832] [AuraPlugin][isConnectedStandby] ROGServiceInfo.LightingServiceSupportModernStandbyNotify: 1
2024-06-17 00:41:30.342; INFO; Aura Pluing; 10988; 7832] [AuraPlugin][isConnectedStandby] out
2024-06-17 00:41:30.343; INFO; GameBoxPlugIn; 10988; 13608] CallLibrary End
2024-06-17 00:41:30.343; INFO; GameBoxPlugIn; 10988; 13608] DoPromotion : S_OK
2024-06-17 00:41:35.124; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-17 00:41:35.124; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-17 00:41:35.484; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-17 00:41:35.484; INFO; DenoiseAI Pluing; 10988; 14216] [DenoiseAI] OnDeviceChange Deinit
2024-06-17 00:41:35.484; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
